Title;Adjusted Gross
Marvel's The Avengers;$692,699,700
Black Panther;$687,213,600
Avengers: Infinity War;$652,501,800
Spider-Man;$626,057,600
Avengers: Endgame;$619,698,600
Spider-Man 2;$542,030,300
Avengers: Age of Ultron;$482,277,500
Spider-Man 3;$440,717,700
Iron Man 3;$440,132,200
Captain America: Civil War;$421,264,600
Captain Marvel ;$420,768,000
Iron Man;$399,556,200
Guardians of the Galaxy Vol. 2;$392,444,300
Deadpool;$381,059,700
Guardians of the Galaxy;$371,009,900
Iron Man 2;$357,411,200
Spider-Man: Homecoming;$337,137,900
X-Men: The Last Stand;$322,382,600
X2: X-Men United;$321,176,900
Thor: Ragnarok;$309,233,900
Deadpool 2;$306,621,800
The Amazing Spider-Man;$303,438,200
Captain America: The Winter Soldier;$281,070,600
X-Men;$262,944,400
X-Men: Days of Future Past;$253,478,300
Big Hero 6;$242,192,800
Doctor Strange;$238,446,100
Logan (2017);$230,370,400
Thor: The Dark World;$222,915,200
Ant-Man and the Wasp;$221,048,000
The Amazing Spider-Man 2;$219,513,500
Fantastic Four (2005);$217,443,300
X-Men Origins: Wolverine;$217,258,300
Venom (2018);$213,043,300
Thor;$202,427,300
Captain America: The First Avenger;$200,488,700
Hulk;$197,498,700
Ant-Man;$196,671,400
Spider-Man: Into The Spider-Verse;$190,052,300
Fantastic Four: Rise of the Silver Surfer;$172,763,800
The Incredible Hulk;$169,165,800
X-Men: First Class;$163,845,600
X-Men: Apocalypse;$160,504,000
Daredevil;$153,220,100
The Wolverine;$152,232,100
Ghost Rider;$151,654,300
Blade;$134,646,100
Blade II;$127,703,700
Blade: Trinity;$75,711,800
Fantastic Four;$61,268,000
Ghost Rider: Spirit of Vengeance;$58,862,300
The Punisher;$49,054,700
Howard the Duck;$39,575,500
Elektra;$34,310,700
Punisher: War Zone;$10,103,000
Inhumans;$1,535,400
